,title,location,summary,salary
120,newOnline Marketing Executive,"New Delhi, Delhi","Job Types: Full-time, Part-time.
We are looking for Good & Experienced Candidate proficient in online selling on various ecommerce websites like Amazon,…","₹9,988 - ₹37,669 a month"
121,Content Writer,+1 locationRemote,"Part-time hours: 45 per week.
Job Types: Full-time, Part-time, Regular / Permanent, Contractual / Temporary, Freelance, Volunteer, Internship, Fresher.","₹3,000 a month"
122,Real Estate Agent,"Delhi, Delhi","All candidates must be vaccinated and use facemask and maintain social distance on daily basis.
Job Types: Full-time, Part-time, Freelance, Fresher.","₹20,000 a month"
123,Content Writer Intern,"New Delhi, Delhi","Job Types: Part-time, Internship.
Prepare blogs for the website.
Prepare content for email campaigns.
Co-ordinate with the marketing team for the content.","₹1,000 a month"
124,Subject Matter Expert,"Delhi, Delhi","Prefer candidates with Math Background(Undergrads can also apply).
Job Types: Part-time, Contractual / Temporary, Freelance, Fresher.","₹18,000 a month"
125,newCashier/Sales Assistant,"Delhi, Delhi","Job Types: Full-time, Part-time.
Yes vivid protocols are followed.
Delhi, Delhi - 110051, Delhi: Reliably commute or planning to relocate before starting work …","₹12,000 - ₹15,000 a month"
126,Marketing Manager,"Remote in Noida, Uttar Pradesh","Part-time hours: 20 per week.
Go the extra mile (Go above and beyond, go beyond the call of duty, go get it done on time).","₹10,00,000 a year"
127,newData Entry Work,"New Alipore, Kolkata, West Bengal","Job Types: Full-time, Part-time.
Higher Secondary(12th Pass) (Preferred).","₹8,000 - ₹9,000 a month"
128,Fresh Faces For Instagram Profile Collaboration,"Delhi, Delhi","Part-time hours: 35 per week.
Modeling & Styling For The Ethnic Garment Shoots On 30% Collaboration From Scratch.
Modeling For New Creative Videos/Reels.","₹2,000 a month"
129,Freelance Content Writer,"Remote in Faridabad, Haryana","Part-time hours: 28 per week.
Job Types: Part-time, Freelance, Internship.
The work will be contract based (Avg Monthly income will be 30-15k), more.","₹15,000 a month"
130,Academic Content Writer (Gurugram) (Work From Office),"Remote in Sohna, Haryana","Ability to research on the internet.
Job Type – Office Job (No WFH, freelancing or Part-time).
Good Communication skills in English.","₹2,00,000 - ₹4,00,000 a year"
131,HR and Operation Head Intern,Remote,"Generate reports and data of the team.
Job Types: Full-time, Part-time, Internship, Fresher.
Ensure that the project is delivered on time, within scope, and…",NA
132,newBusiness Development Executive (BDE),"Remote in Noida, Uttar Pradesh","Good communication skills (English or Hindi both will work).
Training sessions that will be provided by us and 35 account is minimum target,.","₹10,000 a month"
133,Content Writer,"New Delhi, Delhi","Part-time hours: 40 per week.
Job Types: Full-time, Part-time, Regular / Permanent, Freelance, Volunteer, Internship, Fresher.
Total work: 1 year (Preferred).","₹9,000 - ₹15,000 a month"
134,newData Entry Operator,"Sahar, Mumbai, Maharashtra","Part-time hours: 48 per week.
Job Types: Full-time, Part-time, Regular / Permanent, Fresher.
AGE LIMIT 18 TO 30 YRS.
Microsoft Office: 1 year (Preferred).","₹24,000 a month"
135,Freelance & Part Time Editors,"New Delhi, Delhi",Careers Champak magazine is looking for freelance and partime editors for their book publishing division. Pls send your resume at jobseditorial@delhipress…,NA
136,BLOOD BANK OFFICER/INCHARGE (PART TIME),"New Delhi, Delhi","Job Code : DHLI/HR/18/05/2022 No of Position : 01 Job Description MBBS, MD(Pathology) with min 4-5 yrs exp as Blood Bank Officer/Incharge in NABH…",NA
137,newEvent Planner,"Gurgaon, Haryana","Part-time hours: 40 per week.
Plan and organize events with attention to financial and time constraints.
Job Types: Full-time, Part-time, Regular / Permanent,…","₹15,000 a month"
138,newVideo Editor,"Remote in Delhi, Delhi","Part-time hours: 30 per week.
Job Types: Part-time, Regular / Permanent, Contractual / Temporary.
Strong time management, organization, problem-solving, and…","₹9,000 a month"
139,newMobilizer,"Remote in Alwar, Rajasthan","Job Types: Full-time, Part-time, Regular / Permanent, Contractual / Temporary, Internship, Fresher.
Data collection and Call to students.","₹8,000 - ₹15,000 a month"
140,newSchool Transport Supervisor,"Gurgaon, Haryana","Job Types: Full-time, Part-time.
Manage school busses, Driver/ Helper/ Other Busses.
Gurugram, Gurugram - 122006, Haryana: Reliably commute or planning to…","₹23,000 a month"
141,Sales Assistant,"Remote in Delhi, Delhi","Part-time hours: 4 per week.
7000/- as stipend and company’s training certificate, on successfully selling life insurance policy with minimum premium of Rs.","₹7,000 - ₹20,000 a month"
142,Gym Receptionist,"Delhi, Delhi",The candidate must know about the basic computer and know a bit about excel e.g familiar with the data entries.,"₹10,000 - ₹12,000 a month"
